id,value
Taxonomia,
Taxonomia.OrganizacaoDaInformação,
Taxonomia.OrganizacaoDaInformação.TratamentoDaInformação,
Taxonomia.OrganizacaoDaInformação.TratamentoDaInformação.Processos,
Taxonomia.OrganizacaoDaInformação.TratamentoDaInformação.Processos.Entrada de dados,
Taxonomia.OrganizacaoDaInformação.TratamentoDaInformação.Processos.Indexação,
Taxonomia.OrganizacaoDaInformação.TratamentoDaInformação.Processos.Indexação.Manual,1
Taxonomia.OrganizacaoDaInformação.TratamentoDaInformação.Processos.Indexação.Semi-automática,2
Taxonomia.OrganizacaoDaInformação.TratamentoDaInformação.Processos.Indexação.Automática,3
Taxonomia.OrganizacaoDaInformação.TratamentoDaInformação.Vocabulário,
Taxonomia.OrganizacaoDaInformação.TratamentoDaInformação.Vocabulário.Linguagem Natural,
Taxonomia.OrganizacaoDaInformação.TratamentoDaInformação.Vocabulário.Linguagem Natural.Termos livres,4
Taxonomia.OrganizacaoDaInformação.TratamentoDaInformação.Vocabulário.Linguagem Controlada,
Taxonomia.OrganizacaoDaInformação.TratamentoDaInformação.Vocabulário.Linguagem Controlada.Tesauro,5
Taxonomia.OrganizacaoDaInformação.Recuperação da Informação,
Taxonomia.OrganizacaoDaInformação.Recuperação da Informação.Sistemas de recuperação da informação,
Taxonomia.OrganizacaoDaInformação.Recuperação da Informação.Sistemas de recuperação da informação.Métricas,
Taxonomia.OrganizacaoDaInformação.Recuperação da Informação.Sistemas de recuperação da informação.Métricas.Revocação,
Taxonomia.OrganizacaoDaInformação.Recuperação da Informação.Sistemas de recuperação da informação.Métricas.Precisão,
Taxonomia.OrganizacaoDaInformação.Recuperação da Informação.Sistemas de recuperação da informação.Métricas.Relevância,
Taxonomia.OrganizacaoDaInformação.Recuperação da Informação.Sistemas de recuperação da informação.Componentes,
Taxonomia.OrganizacaoDaInformação.Recuperação da Informação.Sistemas de recuperação da informação.Componentes.Banco de dados,
Taxonomia.OrganizacaoDaInformação.Recuperação da Informação.Sistemas de recuperação da informação.Componentes.Banco de dados.Dado,
Taxonomia.OrganizacaoDaInformação.Recuperação da Informação.Sistemas de recuperação da informação.Componentes.Banco de dados.Linguagem de consulta,
Taxonomia.OrganizacaoDaInformação.Recuperação da Informação.Sistemas de recuperação da informação.Componentes.Banco de dados.Recuperação de dados,
Taxonomia.OrganizacaoDaInformação.Recuperação da Informação.Sistemas de recuperação da informação.Interface,
Taxonomia.OrganizacaoDaInformação.Recuperação da Informação.Sistemas de recuperação da informação.Interface.Interface com usuário,
Taxonomia.OrganizacaoDaInformação.Recuperação da Informação.Sistemas de recuperação da informação.Interface.Interface de busca,
Taxonomia.OrganizacaoDaInformação.Recuperação da Informação.Sistemas de recuperação da informação.Interface.Interface de busca.Estratégia de busca,
Taxonomia.OrganizacaoDaInformação.Recuperação da Informação.Sistemas de recuperação da informação.Interface.Interface de busca.Estratégia de busca.Operadores booleanos,
Taxonomia.OrganizacaoDaInformação.Recuperação da Informação.Sistemas de recuperação da informação.Interface.Interface de busca.Estratégia de busca.Palavras-chave,
Taxonomia.OrganizacaoDaInformação.Recuperação da Informação.Sistemas de recuperação da informação.Interface.Interface de busca.Estratégia de busca.Truncagem,
Taxonomia.OrganizacaoDaInformação.Recuperação da Informação.Sistemas de recuperação da informação.Interface.Interface de busca.Documento recuperado,
Taxonomia.OrganizacaoDaInformação.Recuperação da Informação.Sistemas de recuperação da informação.Interface.Interface de linha de comando,
Taxonomia.OrganizacaoDaInformação.Recuperação da Informação.Sistemas de recuperação da informação.Interface.Interface humano-computador,
Taxonomia.OrganizacaoDaInformação.Recuperação da Informação.Sistemas de recuperação da informação.Interface.Interface humano-computador.Usabilidade,
Taxonomia.OrganizacaoDaInformação.Recuperação da Informação.Sistemas de recuperação da informação.Interface.Interface humano-computador.Acessibilidade,
Taxonomia.Biblioteca,
Taxonomia.Desenvolvimento de coleções,
Taxonomia.Desenvolvimento de coleções.Documento,
Taxonomia.Desenvolvimento de coleções.Documento.Artigo,
Taxonomia.Desenvolvimento de coleções.Documento.Livro,
Taxonomia.Desenvolvimento de coleções.Base de dados,
Taxonomia.Desenvolvimento de coleções.Catálogo,
Taxonomia.Usuário,
Taxonomia.Usuário.Satisfação do usuário,
Taxonomia.Usuário.Necessidade de busca,
Taxonomia.Usuário.Treinamento de usuários,
